POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,0.5499999999999996,0.15,4000,5,42,3048,218
100,0.5499999999999996,0.16999999999999998,4000,5,47,3257,240
100,0.5499999999999996,0.18999999999999997,4000,5,10046,3832,321
100,0.5499999999999996,0.20999999999999996,4000,5,43,3705,230
100,0.5499999999999996,0.22999999999999995,4000,5,43,3355,293
100,0.5499999999999996,0.24999999999999994,4000,5,42,3591,221
100,0.4999999999999996,0.01,4000,5,19,259,42
100,0.4999999999999996,0.03,4000,5,24,516,64
100,0.4999999999999996,0.05,4000,5,30,947,98
100,0.4999999999999996,0.07,4000,5,35,1983,189
100,0.4999999999999996,0.09000000000000001,4000,5,36,1951,189
100,0.4999999999999996,0.11000000000000001,4000,5,44,3177,285
100,0.4999999999999996,0.13,4000,5,37,2672,210
100,0.4999999999999996,0.15,4000,5,43,3261,255
100,0.4999999999999996,0.16999999999999998,4000,5,45,3290,258
100,0.4999999999999996,0.18999999999999997,4000,5,45,4164,337
100,0.4999999999999996,0.20999999999999996,4000,5,42,3720,316
100,0.4999999999999996,0.22999999999999995,4000,5,46,4148,254
100,0.4999999999999996,0.24999999999999994,4000,5,47,3944,271
100,0.4499999999999996,0.01,4000,5,18,359,47
100,0.4499999999999996,0.03,4000,5,21,448,57
100,0.4499999999999996,0.05,4000,5,29,1125,104
100,0.4499999999999996,0.07,4000,5,10031,1210,145
100,0.4499999999999996,0.09000000000000001,4000,5,38,2165,166
100,0.4499999999999996,0.11000000000000001,4000,5,38,2488,206
100,0.4499999999999996,0.13,4000,5,43,3017,253
100,0.4499999999999996,0.15,4000,5,10043,3531,263
100,0.4499999999999996,0.16999999999999998,4000,5,41,3334,273
100,0.4499999999999996,0.18999999999999997,4000,5,10044,4011,248
100,0.4499999999999996,0.20999999999999996,4000,5,46,4268,295
100,0.4499999999999996,0.22999999999999995,4000,5,10048,4441,255
100,0.4499999999999996,0.24999999999999994,4000,5,44,3616,288
100,0.39999999999999963,0.01,4000,5,21,261,42
100,0.39999999999999963,0.03,4000,5,37,961,65
100,0.39999999999999963,0.05,4000,5,30,836,113
100,0.39999999999999963,0.07,4000,5,35,1857,219
100,0.39999999999999963,0.09000000000000001,4000,5,35,2236,182
100,0.39999999999999963,0.11000000000000001,4000,5,10039,2664,248
100,0.39999999999999963,0.13,4000,5,42,2994,239
100,0.39999999999999963,0.15,4000,5,41,3262,283
100,0.39999999999999963,0.16999999999999998,4000,5,45,4019,280
100,0.39999999999999963,0.18999999999999997,4000,5,10045,3807,315
100,0.39999999999999963,0.20999999999999996,4000,5,48,4681,317
100,0.39999999999999963,0.22999999999999995,4000,5,40,4367,229
100,0.39999999999999963,0.24999999999999994,4000,5,49,4338,314
100,0.34999999999999964,0.01,4000,5,24,380,38
100,0.34999999999999964,0.03,4000,5,20,356,45
100,0.34999999999999964,0.05,4000,5,30,861,101
100,0.34999999999999964,0.07,4000,5,31,1472,158
100,0.34999999999999964,0.09000000000000001,4000,5,40,2134,201
100,0.34999999999999964,0.11000000000000001,4000,5,40,2871,252
100,0.34999999999999964,0.13,4000,5,41,3323,249
100,0.34999999999999964,0.15,4000,5,42,3626,298
100,0.34999999999999964,0.16999999999999998,4000,5,10038,4086,273
100,0.34999999999999964,0.18999999999999997,4000,5,45,4325,348
100,0.34999999999999964,0.20999999999999996,4000,5,46,4598,301
100,0.34999999999999964,0.22999999999999995,4000,5,48,4393,323
100,0.34999999999999964,0.24999999999999994,4000,5,45,5017,269
100,0.29999999999999966,0.01,4000,5,16,355,48
100,0.29999999999999966,0.03,4000,5,22,417,58
100,0.29999999999999966,0.05,4000,5,33,936,117
100,0.29999999999999966,0.07,4000,5,30,1643,187
100,0.29999999999999966,0.09000000000000001,4000,5,37,2433,221
100,0.29999999999999966,0.11000000000000001,4000,5,41,2751,231
100,0.29999999999999966,0.13,4000,5,39,3431,262
100,0.29999999999999966,0.15,4000,5,46,3420,252
100,0.29999999999999966,0.16999999999999998,4000,5,46,3708,231
100,0.29999999999999966,0.18999999999999997,4000,5,45,4902,317
100,0.29999999999999966,0.20999999999999996,4000,5,10044,5847,415
100,0.29999999999999966,0.22999999999999995,4000,5,46,6211,368
100,0.29999999999999966,0.24999999999999994,4000,5,47,4529,277
100,0.24999999999999967,0.01,4000,5,16,335,48
100,0.24999999999999967,0.03,4000,5,33,1067,79
100,0.24999999999999967,0.05,4000,5,31,978,114
100,0.24999999999999967,0.07,4000,5,34,1836,177
100,0.24999999999999967,0.09000000000000001,4000,5,39,2395,202
100,0.24999999999999967,0.11000000000000001,4000,5,43,3918,239
100,0.24999999999999967,0.13,4000,5,42,3545,267
100,0.24999999999999967,0.15,4000,5,45,4319,293
100,0.24999999999999967,0.16999999999999998,4000,5,47,4067,321
100,0.24999999999999967,0.18999999999999997,4000,5,46,4430,300
100,0.24999999999999967,0.20999999999999996,4000,5,46,4453,337
100,0.24999999999999967,0.22999999999999995,4000,5,10048,6101,405
100,0.24999999999999967,0.24999999999999994,4000,5,10048,5191,323
100,0.19999999999999968,0.01,4000,5,16,260,35
100,0.19999999999999968,0.03,4000,5,17,412,62
100,0.19999999999999968,0.05,4000,5,26,924,110
100,0.19999999999999968,0.07,4000,5,33,1668,171
100,0.19999999999999968,0.09000000000000001,4000,5,40,2633,304
100,0.19999999999999968,0.11000000000000001,4000,5,10038,2991,241
100,0.19999999999999968,0.13,4000,5,42,3424,269
