POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,0.8499999999999999,0.13,4000,4,28,1843,129
100,0.8499999999999999,0.15,4000,4,26,1366,101
100,0.8499999999999999,0.16999999999999998,4000,4,43,2195,175
100,0.8499999999999999,0.18999999999999997,4000,4,29,1593,155
100,0.8499999999999999,0.20999999999999996,4000,4,34,2050,140
100,0.8499999999999999,0.22999999999999995,4000,4,33,1881,206
100,0.8499999999999999,0.24999999999999994,4000,4,29,1742,132
100,0.7999999999999998,0.01,4000,4,15,199,43
100,0.7999999999999998,0.03,4000,4,20,474,67
100,0.7999999999999998,0.05,4000,4,22,771,79
100,0.7999999999999998,0.07,4000,4,23,924,105
100,0.7999999999999998,0.09000000000000001,4000,4,29,1370,103
100,0.7999999999999998,0.11000000000000001,4000,4,34,1570,104
100,0.7999999999999998,0.13,4000,4,30,1863,132
100,0.7999999999999998,0.15,4000,4,34,1602,109
100,0.7999999999999998,0.16999999999999998,4000,4,27,1479,114
100,0.7999999999999998,0.18999999999999997,4000,4,33,2039,174
100,0.7999999999999998,0.20999999999999996,4000,4,32,1572,119
100,0.7999999999999998,0.22999999999999995,4000,4,36,2134,153
100,0.7999999999999998,0.24999999999999994,4000,4,35,1821,147
100,0.7499999999999998,0.01,4000,4,16,197,36
100,0.7499999999999998,0.03,4000,4,18,408,50
100,0.7499999999999998,0.05,4000,4,22,801,70
100,0.7499999999999998,0.07,4000,4,30,1204,107
100,0.7499999999999998,0.09000000000000001,4000,4,31,1671,104
100,0.7499999999999998,0.11000000000000001,4000,4,37,1658,116
100,0.7499999999999998,0.13,4000,4,32,2429,187
100,0.7499999999999998,0.15,4000,4,40,2023,115
100,0.7499999999999998,0.16999999999999998,4000,4,35,2164,176
100,0.7499999999999998,0.18999999999999997,4000,4,40,1893,152
100,0.7499999999999998,0.20999999999999996,4000,4,39,2541,142
100,0.7499999999999998,0.22999999999999995,4000,4,31,2157,154
100,0.7499999999999998,0.24999999999999994,4000,4,47,3014,171
100,0.6999999999999997,0.01,4000,4,17,261,37
100,0.6999999999999997,0.03,4000,4,18,374,52
100,0.6999999999999997,0.05,4000,4,25,635,68
100,0.6999999999999997,0.07,4000,4,25,936,84
100,0.6999999999999997,0.09000000000000001,4000,4,33,1393,137
100,0.6999999999999997,0.11000000000000001,4000,4,32,1361,108
100,0.6999999999999997,0.13,4000,4,31,1556,103
100,0.6999999999999997,0.15,4000,4,29,1550,141
100,0.6999999999999997,0.16999999999999998,4000,4,32,1745,125
100,0.6999999999999997,0.18999999999999997,4000,4,38,2439,126
100,0.6999999999999997,0.20999999999999996,4000,4,35,2456,189
100,0.6999999999999997,0.22999999999999995,4000,4,37,2683,173
100,0.6999999999999997,0.24999999999999994,4000,4,30,2521,158
100,0.6499999999999997,0.01,4000,4,17,197,34
100,0.6499999999999997,0.03,4000,4,20,386,53
100,0.6499999999999997,0.05,4000,4,22,852,87
100,0.6499999999999997,0.07,4000,4,26,1133,106
100,0.6499999999999997,0.09000000000000001,4000,4,30,1380,121
100,0.6499999999999997,0.11000000000000001,4000,4,41,1843,90
100,0.6499999999999997,0.13,4000,4,33,1817,152
100,0.6499999999999997,0.15,4000,4,41,2473,166
100,0.6499999999999997,0.16999999999999998,4000,4,39,2487,140
100,0.6499999999999997,0.18999999999999997,4000,4,43,2782,142
100,0.6499999999999997,0.20999999999999996,4000,4,38,2486,182
100,0.6499999999999997,0.22999999999999995,4000,4,34,2096,150
100,0.6499999999999997,0.24999999999999994,4000,4,40,2363,164
100,0.5999999999999996,0.01,4000,4,16,170,40
100,0.5999999999999996,0.03,4000,4,18,381,44
100,0.5999999999999996,0.05,4000,4,21,571,80
100,0.5999999999999996,0.07,4000,4,27,1042,122
100,0.5999999999999996,0.09000000000000001,4000,4,34,1330,107
100,0.5999999999999996,0.11000000000000001,4000,4,33,1654,159
100,0.5999999999999996,0.13,4000,4,37,2421,156
